TABLE, 101.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 101.000000, Mobile_1, 192.0.1.2, 5.259000, 0.000000
TABLE, 101.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 102.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 102.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 102.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 102.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 103.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 103.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 103.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 103.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 104.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 104.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 104.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 104.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 105.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 105.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 105.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 105.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 106.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 106.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 106.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 106.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 107.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 107.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 107.000000, Mobile_1, 192.0.1.2, 5.259000, 0.000000
TABLE, 107.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 108.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 108.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 108.000000, Mobile_1, 192.0.1.2, 5.259000, 0.000000
TABLE, 108.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 109.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 109.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 109.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 109.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 110.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 110.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 110.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 110.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 111.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 111.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 111.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 111.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 112.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 112.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 112.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 112.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 113.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 113.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 113.000000, Mobile_1, 192.0.1.2, 5.259000, 0.000000
TABLE, 113.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 114.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 114.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 114.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 114.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 115.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 115.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 115.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 115.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 116.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 116.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 116.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 116.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 117.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 117.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 117.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 117.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 118.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 118.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 118.000000, Mobile_1, 192.0.1.2, 0.000000, 0.000000
TABLE, 118.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
CENTRAL, 119.000000, 192.0.1.1, -144.700000, 0.000000
TABLE, 119.000000, Mobile_1, 192.0.1.1, -144.700000, 0.000000
TABLE, 119.000000, Mobile_1, 192.0.1.2, 5.259000, 0.000000
TABLE, 119.000000, Mobile_1, 192.0.1.3, 155.300000, 0.000000
