101.000000, Mobile_1, 192.0.1.2, 0.0
101.000000, Mobile_1, 192.0.1.3, 1.0
101.000000, Mobile_2, 192.0.1.1, 1.0
101.000000, Mobile_2, 192.0.1.3, 1.0
101.000000, Mobile_3, 192.0.1.1, 1.0
101.000000, Mobile_3, 192.0.1.2, 0.0
102.000000, Mobile_1, 192.0.1.2, 0.0
102.000000, Mobile_1, 192.0.1.3, 4.0
102.000000, Mobile_2, 192.0.1.1, 0.0
102.000000, Mobile_2, 192.0.1.3, 4.0
102.000000, Mobile_3, 192.0.1.1, 0.0
102.000000, Mobile_3, 192.0.1.2, 0.0
103.000000, Mobile_1, 192.0.1.2, 1.0
103.000000, Mobile_1, 192.0.1.3, 3.0
103.000000, Mobile_2, 192.0.1.1, 1.0
103.000000, Mobile_2, 192.0.1.3, 3.0
103.000000, Mobile_3, 192.0.1.1, 1.0
103.000000, Mobile_3, 192.0.1.2, 1.0
104.000000, Mobile_1, 192.0.1.2, 1.0
104.000000, Mobile_1, 192.0.1.3, 6.0
104.000000, Mobile_2, 192.0.1.1, 1.0
104.000000, Mobile_2, 192.0.1.3, 6.0
104.000000, Mobile_3, 192.0.1.1, 1.0
104.000000, Mobile_3, 192.0.1.2, 1.0
105.000000, Mobile_1, 192.0.1.2, 1.0
105.000000, Mobile_1, 192.0.1.3, 9.05538513813742
105.000000, Mobile_2, 192.0.1.1, 1.4142135623731
105.000000, Mobile_2, 192.0.1.3, 9.05538513813742
105.000000, Mobile_3, 192.0.1.1, 1.4142135623731
105.000000, Mobile_3, 192.0.1.2, 1.0
106.000000, Mobile_1, 192.0.1.2, 1.0
106.000000, Mobile_1, 192.0.1.3, 12.0415945787923
106.000000, Mobile_2, 192.0.1.1, 1.0
106.000000, Mobile_2, 192.0.1.3, 12.0415945787923
106.000000, Mobile_3, 192.0.1.1, 1.0
106.000000, Mobile_3, 192.0.1.2, 1.0
107.000000, Mobile_1, 192.0.1.2, 2.0
107.000000, Mobile_1, 192.0.1.3, 15.0332963783729
107.000000, Mobile_2, 192.0.1.1, 2.0
107.000000, Mobile_2, 192.0.1.3, 15.0332963783729
107.000000, Mobile_3, 192.0.1.1, 2.0
107.000000, Mobile_3, 192.0.1.2, 2.0
108.000000, Mobile_1, 192.0.1.2, 3.0
108.000000, Mobile_1, 192.0.1.3, 18.0277563773199
108.000000, Mobile_2, 192.0.1.1, 3.0
108.000000, Mobile_2, 192.0.1.3, 18.0277563773199
108.000000, Mobile_3, 192.0.1.1, 3.0
108.000000, Mobile_3, 192.0.1.2, 3.0
109.000000, Mobile_1, 192.0.1.2, 4.12310562561766
109.000000, Mobile_1, 192.0.1.3, 21.0237960416286
109.000000, Mobile_2, 192.0.1.1, 4.0
109.000000, Mobile_2, 192.0.1.3, 21.0237960416286
109.000000, Mobile_3, 192.0.1.1, 4.0
109.000000, Mobile_3, 192.0.1.2, 4.12310562561766
110.000000, Mobile_1, 192.0.1.2, 5.09901951359278
110.000000, Mobile_1, 192.0.1.3, 24.0208242989286
110.000000, Mobile_2, 192.0.1.1, 5.09901951359278
110.000000, Mobile_2, 192.0.1.3, 24.0208242989286
110.000000, Mobile_3, 192.0.1.1, 5.09901951359278
110.000000, Mobile_3, 192.0.1.2, 5.09901951359278
111.000000, Mobile_1, 192.0.1.1, 1.0
111.000000, Mobile_1, 192.0.1.2, 0.0
111.000000, Mobile_1, 192.0.1.3, 3.0
111.000000, Mobile_2, 192.0.1.1, 1.0
111.000000, Mobile_2, 192.0.1.3, 3.0
111.000000, Mobile_3, 192.0.1.1, 1.0
111.000000, Mobile_3, 192.0.1.2, 0.0
112.000000, Mobile_1, 192.0.1.1, 2.0
112.000000, Mobile_1, 192.0.1.2, 0.0
112.000000, Mobile_1, 192.0.1.3, 2.0
112.000000, Mobile_2, 192.0.1.1, 1.0
112.000000, Mobile_2, 192.0.1.3, 2.0
112.000000, Mobile_3, 192.0.1.1, 1.0
112.000000, Mobile_3, 192.0.1.2, 0.0
113.000000, Mobile_1, 192.0.1.1, 3.0
113.000000, Mobile_1, 192.0.1.2, 0.0
113.000000, Mobile_1, 192.0.1.3, 2.0
113.000000, Mobile_2, 192.0.1.1, 1.0
113.000000, Mobile_2, 192.0.1.3, 2.0
113.000000, Mobile_3, 192.0.1.1, 1.0
113.000000, Mobile_3, 192.0.1.2, 0.0
114.000000, Mobile_1, 192.0.1.1, 4.12310562561766
114.000000, Mobile_1, 192.0.1.2, 0.0
114.000000, Mobile_1, 192.0.1.3, 5.0
